reference	book	chapter	count	min_confidence	surfaces	pages	confirmed
1 Petr 5	1 Petrus	5	6	1.0	"Petri am 5.cap. (2) | petri am v cap (1) | Petri am
v.cap. (1) | Petri. 5. (1) | Petri am 5. Cap. (1)"	a_v_1447_schlussredaktion:221; druck_1528_04:155; druck_1608_bern:154; druck_1608_zuerich:156,648; druck_1701:133	
Apg 4	Apostelgeschichte	4	6	0.857	Act. 4. (3) | Act.am 4. cap. (1) | Act. am 4. cap. (1) | Act. am 4. Cap. (1)	druck_1608_bern:235; druck_1608_zuerich:237,721; druck_1701:208,559	
Dan 44	Daniel	44	6	0.857	Dann vil (4) | dann vil (2)	druck_1528:226; druck_1608_bern:262; druck_1608_zuerich:264,265,585; druck_1701:232	
Ex 20	Exodus	20	6	1.0	Exodi am 20. (2) | Exod. 20. (2) | Exodi am xx. (1) | EXodi am 20. (1)	druck_1528:482; druck_1608_bern:557; druck_1608_zuerich:559,687; druck_1701:497,525	
Gal 2	Galater	2	6	0.857	Gal. 2. (5) | Galat. 2. (1)	druck_1608_zuerich:742,743,756; druck_1701:580,594	
Gal 4	Galater	4	6	0.857	Galatern am 4. (3) | zun Gal. am 4. (3)	druck_1608_bern:201; druck_1608_zuerich:203; druck_1701:177	
Gen 49	Genesis	49	6	1.0	Geneſis am 49. (3) | Gen. 49. (2) | Geneſis am xlix. (1)	druck_1528:455; druck_1608_bern:524; druck_1608_zuerich:526,727; druck_1701:468,564	
Jer 5	Jeremia	5	6	0.857	"Hieremie am 5. (2) | teremie v. (1) | Hieremie am v. (1) | Hieremie
am v. (1) | Jeremie am 5. (1)"	a_v_1447_schlussredaktion:615; druck_1528:397; druck_1528_04:456; druck_1608_bern:456; druck_1608_zuerich:458; druck_1701:409	
Jes 40	Jesaja	40	6	0.857	Eſaie. xl. Capitel (1) | Eſaie xl. capitel (1) | Eſaie 40.cap. (1) | Eſaie 40. cap. (1) | Eſaie 40. Cap. (1) | Jeſa. 40. (1)	druck_1528:203; druck_1528_04:238; druck_1608_bern:236; druck_1608_zuerich:238; druck_1701:210,527	
Jes 43	Jesaja	43	6	1.0	Eſaie 43. cap. (2) | Eſaia am 43. Cap. (2) | Esaie xliii (1) | Esaia am 43. Capit. (1)	a_v_1447_schlussredaktion:64; druck_1608_bern:62,509; druck_1608_zuerich:64,511; druck_1701:454	
Joh 4	Johannes	4	6	0.857	"Johannis am
4. Capitel. (2) | Johannis am 4. Cap. (1) | Johannis
am 4. (1) | hannis am 4. Capitel. (1) | Johannis am 4.
Cap. (1)"	druck_1608_bern:408; druck_1608_zuerich:410; druck_1701:121,168,366,441	
Mk 16	Markus	16	6	0.857	"Marci 16. Capitel. (2) | Marci am xvi cap (1) | Mar. 16. (1) | Marci am 16. Cap. (1) | Marc.
16. (1)"	a_v_1447_schlussredaktion:468; druck_1608_bern:340; druck_1608_zuerich:342,734; druck_1701:304,572	
